ingredients,gluten,lactose,oeufs,poisson,fruits_de_mer,vegetarien
tomate salade fromage chocolat huile poivre courgette pain,1,1,0,0,0,1
courgette thym tomate huile lait fromage cumin concombre,0,1,0,0,0,1
epinard pomme de terre chocolat persil aubergine semoule,1,0,0,0,0,1
olive persil dinde champignon thym,0,0,0,0,0,0
orge carotte noix sucre mayonnaise thym,1,0,1,0,0,1
brioche poivron pomme de terre epinard cumin lait poivre,1,1,0,0,0,1
courgette dinde persil olive ail oignon,0,0,0,0,0,0
moule pates chocolat huile salade ail thym concombre persil,1,0,0,0,1,0
mayonnaise sel epinard miel noix boeuf,0,0,1,0,0,0
poivron courgette aubergine curcuma paprika pain,1,0,0,0,0,1
aubergine brioche creme cafe curcuma yaourt,1,1,0,0,0,1
miel tomate oignon creme sardine sel,0,1,0,1,0,0
oignon sel dinde,0,0,0,0,0,0
noix brioche poivre sucre mayonnaise sel carotte oignon,1,0,1,0,0,1
curcuma thym pain tomate beurre,1,1,0,0,0,1
salade yaourt biscuit poivre cumin poivron agneau epinard,1,1,0,0,0,0
concombre citron courgette oeuf huile aubergine poivre,0,0,1,0,0,1
cumin semoule mascarpone salade,1,1,0,0,0,1
brioche poivre agneau tomate pomme de terre thym,1,0,0,0,0,0
ail orge mascarpone biscuit epinard paprika,1,1,0,0,0,1
pomme de terre cafe concombre thym mascarpone carotte,0,1,0,0,0,1
carotte pomme de terre citron thym cumin,0,0,0,0,0,1
pomme de terre semoule olive sel mozzarella ail poivron thym,1,1,0,0,0,1
mayonnaise sardine ail chocolat citron cumin,0,0,1,1,0,0
persil poivron thym concombre carotte,0,0,0,0,0,1
dinde champignon aubergine thym epinard paprika,0,0,0,0,0,0
olive carotte thym couscous poivre,1,0,0,0,0,1
huile boeuf noix poivron carotte persil,0,0,0,0,0,0
ail champignon thym paprika dinde,0,0,0,0,0,0
ail orge cumin oignon courgette sardine,1,0,0,1,0,0
carotte saumon salade cumin biscuit poivron olive curcuma huile,1,0,0,1,0,0
huile sel carotte courgette mayonnaise paprika cafe,0,0,1,0,0,1
creme sel chocolat oignon parmesan,0,1,0,0,0,1
carotte thym farine champignon,1,0,0,0,0,1
